,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20,Target
2021-12-15,1079.8345947265625,1094.3039423247055,1074.3288697386265,1084.7486582787296,9366969,1100.8970458984375,1149.6083544921876,1107.4659287392224,38.5985552853669,1141.4023380611804,1060.3917537356945,16441961.25,0
2021-12-16,1093.80322265625,1099.0813569765323,1077.7640971670985,1094.6222331236886,9761279,1099.529718017578,1148.2228393554688,1106.1647186360822,49.085143956533756,1138.9891739865654,1060.0702620485906,16419923.75,0
2021-12-17,1064.932861328125,1095.6689246022736,1055.6277943848347,1091.1415595298963,21049821,1096.5072998046876,1145.7771484375,1102.2378750829434,40.09410937979961,1136.87905379879,1056.1355458105852,17047133.55,1
2021-12-20,1036.2216796875,1054.6495980178693,1022.4574879615028,1054.6495980178693,14325846,1094.541650390625,1143.2063305664062,1095.9506183786154,38.078439188922545,1142.3552184431073,1046.7280823381425,16557210.5,1
2021-12-21,1051.646484375,1067.458141823185,1042.9785726603925,1051.6919782743073,12836561,1092.8444519042969,1140.8298022460938,1091.7311770449378,34.710838696560636,1144.2692336130829,1041.419670195511,15932688.6,1
2021-12-22,1076.6038818359375,1079.2430094666254,1056.5379426212896,1057.8573860824,17658543,1093.1788757324218,1138.052861328125,1090.290482263128,39.35437692152638,1144.059938234447,1042.2978132303967,15974600.95,1
2021-12-23,1076.2171630859375,1082.9285964305648,1072.9411209146308,1080.1984810516549,9072401,1090.2736267089845,1135.4374536132811,1088.9501661510146,45.469849020404766,1137.7872009408977,1042.7600524770712,14308124.2,0
2021-12-24,1079.652587890625,1088.3887407376528,1063.6133400712515,1078.3785179602155,7886494,1089.3681579589843,1132.7528833007811,1088.064682507168,51.16841658210569,1136.9710052003484,1041.7653107176202,13914292.0,0
2021-12-27,1078.4921875,1082.0185663686743,1068.413724480792,1074.5336166000147,4017223,1087.7471740722656,1129.7980346679688,1087.1530163160091,48.61837072616459,1134.4607496851968,1041.0335984593344,12898885.45,1
2021-12-28,1091.3009033203125,1094.2357415301187,1079.7663934022717,1080.926608302519,6374613,1087.5879333496093,1127.049765625,1087.5480531735618,47.60750740261906,1134.2264425437343,1040.9494241554844,11609001.15,1
2021-12-29,1093.1663818359375,1100.6740785888855,1083.884061988693,1087.9337410579972,15425312,1086.1205139160156,1124.27328125,1088.0831320937882,42.85335547143204,1129.8905680916298,1042.3504597404014,11875036.25,1
2021-12-30,1073.4189453125,1094.2812707813944,1067.276305271878,1092.02896140955,29333171,1083.305126953125,1120.8811669921874,1086.6865428765227,38.06620331952869,1122.242154258057,1044.3680996481928,12705674.25,1
