,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-05-26,0,1,0.62866956,1144.2088623046875,0.0,105097.32400111479,105097.32400111479,99123.00866008895,105097.32400111479
2023-05-29,0,1,0.65119255,1150.645263671875,0.0,105688.5172545266,105688.5172545266,99680.5952069843,105688.5172545266
2023-05-30,0,1,0.6600056,1150.3486328125,0.0,105661.27125900645,105661.27125900645,99654.8980251049,105661.27125900645
2023-05-31,1,1,0.6097254,1127.5009765625,0.0,103562.67928801283,103562.67928801283,97675.60167201616,103562.67928801283
2023-06-01,1,1,0.61941826,1124.46533203125,0.0,103283.85072151285,103283.85072151285,97412.62326914488,103283.85072151285
2023-06-02,1,1,0.6142351,1120.7904052734375,0.0,102946.30311034662,102946.30311034662,97094.26373808329,102946.30311034662
2023-06-05,1,1,0.62555224,1130.856201171875,0.0,103870.86177067403,103870.86177067403,97966.26535149661,103870.86177067403
2023-06-06,1,1,0.62280726,1131.81494140625,0.0,103958.92351915766,103958.92351915766,98049.32118132414,103958.92351915766
2023-06-07,1,1,0.65533227,1140.3970947265625,0.0,104747.20735250901,104747.20735250901,98792.79458545253,104747.20735250901
2023-06-08,1,1,0.6365919,1141.0816650390625,0.0,104810.08617673822,104810.08617673822,98852.09902824255,104810.08617673822
2023-06-09,1,1,0.68191123,1133.001953125,0.0,104067.95235061359,104067.95235061359,98152.15220872965,104067.95235061359
2023-06-12,1,1,0.6604394,1134.006103515625,0.0,104160.185091004,104160.185091004,98239.14192812884,104160.185091004
2023-06-13,1,1,0.65643984,1150.759521484375,0.0,105699.01200835657,105699.01200835657,99690.49338074528,105699.01200835657
2023-06-14,1,1,0.67331976,1164.910888671875,0.0,106998.83660451267,106998.83660451267,100916.42873091662,106998.83660451267
2023-06-15,0,1,0.6774425,1165.23046875,0.0,107028.19052067389,107028.19052067389,100944.1140075258,107028.19052067389
2023-06-16,0,1,0.64679337,1176.574462890625,0.0,108070.15363330231,108070.15363330231,101926.84615240386,108070.15363330231
2023-06-19,0,1,0.5817913,1164.8880615234375,0.0,106996.73989621545,106996.73989621545,100914.45121115883,106996.73989621545
2023-06-20,0,1,0.6916904,1167.3074951171875,0.0,107218.96855103408,107218.96855103408,101124.04715554151,107218.96855103408
2023-06-21,0,1,0.7066758,1170.59423828125,0.0,107520.86090880359,107520.86090880359,101408.77827574857,107520.86090880359
2023-06-22,1,1,0.6877843,1157.4471435546875,0.0,106313.28026538173,106313.28026538173,100269.84321994838,106313.28026538173
2023-06-23,1,1,0.65006137,1147.974853515625,0.0,105443.23602078228,105443.23602078228,99449.2571202378,105443.23602078228
2023-06-26,1,1,0.6020607,1139.210205078125,0.0,104638.18973339692,104638.18973339692,98689.97413301899,104638.18973339692
2023-06-27,1,1,0.625768,1139.62109375,0.0,104675.93048274705,104675.93048274705,98725.56948865936,104675.93048274705
2023-06-28,1,1,0.61984605,1154.708251953125,0.0,106061.70890674573,106061.70890674573,100032.57257392848,106061.70890674573
2023-06-30,1,1,0.7055819,1164.1805419921875,0.0,106931.75315134518,106931.75315134518,100853.15867363905,106931.75315134518
2023-07-03,1,0,0.4997138,1194.0582275390625,109566.38793981857,0.0,109566.38793981857,103441.46766229786,109566.38793981857
2023-07-04,1,0,0.4119192,1181.755615234375,109566.38793981857,0.0,109566.38793981857,102375.69026256424,109566.38793981857
2023-07-05,1,1,0.5075856,1179.8155517578125,0.0,109456.93100880977,109456.93100880977,102207.62223309532,109456.93100880977
2023-07-06,1,0,0.45495653,1204.5804443359375,111642.72984484982,0.0,111642.72984484982,104353.00909589518,111642.72984484982
2023-07-07,1,0,0.19399291,1202.2296142578125,111642.72984484982,0.0,111642.72984484982,104149.35628575785,111642.72984484982
2023-07-10,1,0,0.22036435,1248.5411376953125,111642.72984484982,0.0,111642.72984484982,108161.33145042392,111642.72984484982
2023-07-11,1,0,0.21400611,1262.076171875,111642.72984484982,0.0,111642.72984484982,109333.87376713472,111642.72984484982
2023-07-12,1,0,0.25091407,1263.4683837890625,111642.72984484982,0.0,111642.72984484982,109454.48132241648,111642.72984484982
2023-07-13,1,0,0.07853196,1252.170166015625,111642.72984484982,0.0,111642.72984484982,108475.71479202599,111642.72984484982
2023-07-14,1,0,0.091261834,1251.1202392578125,111642.72984484982,0.0,111642.72984484982,108384.75945813923,111642.72984484982
2023-07-17,0,0,0.06556949,1276.6842041015625,111642.72984484982,0.0,111642.72984484982,110599.37008743401,111642.72984484982
2023-07-18,0,0,0.06566625,1287.52587890625,111642.72984484982,0.0,111642.72984484982,111538.58622266854,111642.72984484982
2023-07-19,0,0,0.08271045,1297.294921875,111642.72984484982,0.0,111642.72984484982,112384.88007923048,111642.72984484982
2023-07-20,0,0,0.08941528,1295.723876953125,111642.72984484982,0.0,111642.72984484982,112248.7801900173,111642.72984484982
2023-07-21,0,0,0.11927358,1255.6134033203125,111642.72984484982,0.0,111642.72984484982,108774.00302629454,111642.72984484982
2023-07-24,1,0,0.10173342,1230.216796875,111642.72984484982,0.0,111642.72984484982,106573.8906835663,111642.72984484982
2023-07-25,1,0,0.08574639,1229.425537109375,111642.72984484982,0.0,111642.72984484982,106505.34371527725,111642.72984484982
2023-07-26,0,0,0.12642574,1249.4063720703125,111642.72984484982,0.0,111642.72984484982,108236.28685172486,111642.72984484982
2023-07-27,0,0,0.12206047,1237.7838134765625,111642.72984484982,0.0,111642.72984484982,107229.42262081848,111642.72984484982
2023-07-28,0,0,0.123141415,1250.2225341796875,111642.72984484982,0.0,111642.72984484982,108306.99111429513,111642.72984484982
2023-07-31,0,0,0.09842114,1260.8065185546875,111642.72984484982,0.0,111642.72984484982,109223.88348370766,111642.72984484982
2023-08-01,0,0,0.09086776,1242.9769287109375,111642.72984484982,0.0,111642.72984484982,107679.30307823162,111642.72984484982
2023-08-02,1,0,0.09538933,1229.697509765625,111642.72984484982,0.0,111642.72984484982,106528.90475281938,111642.72984484982
2023-08-03,1,0,0.07872472,1224.5291748046875,111642.72984484982,0.0,111642.72984484982,106081.17101471551,111642.72984484982
2023-08-04,1,0,0.088433325,1241.171630859375,111642.72984484982,0.0,111642.72984484982,107522.90981781407,111642.72984484982
2023-08-07,1,0,0.1266608,1248.244140625,111642.72984484982,0.0,111642.72984484982,108135.60254362861,111642.72984484982
2023-08-08,1,0,0.07389381,1240.7264404296875,111642.72984484982,0.0,111642.72984484982,107484.34289505103,111642.72984484982
2023-08-09,1,0,0.07457687,1248.911865234375,111642.72984484982,0.0,111642.72984484982,108193.44764028721,111642.72984484982
2023-08-10,1,0,0.069361836,1254.4759521484375,111642.72984484982,0.0,111642.72984484982,108675.46543750755,111642.72984484982
2023-08-11,0,0,0.092734024,1259.767822265625,111642.72984484982,0.0,111642.72984484982,109133.90104724186,111642.72984484982
2023-08-14,0,0,0.081903346,1274.6546630859375,111642.72984484982,0.0,111642.72984484982,110423.5506035134,111642.72984484982
2023-08-16,0,0,0.0764662,1273.6160888671875,111642.72984484982,0.0,111642.72984484982,110333.57874201956,111642.72984484982
2023-08-17,0,0,0.08060086,1255.2425537109375,111642.72984484982,0.0,111642.72984484982,108741.87626145929,111642.72984484982
2023-08-18,0,0,0.07096128,1264.54052734375,111642.72984484982,0.0,111642.72984484982,109547.3613012012,111642.72984484982
2023-08-21,0,0,0.071189575,1250.74267578125,111642.72984484982,0.0,111642.72984484982,108352.05106984581,111642.72984484982
2023-08-22,0,0,0.060889408,1250.44482421875,111642.72984484982,0.0,111642.72984484982,108326.24813824674,111642.72984484982
2023-08-23,0,0,0.06970073,1251.8345947265625,111642.72984484982,0.0,111642.72984484982,108446.64419408915,111642.72984484982
2023-08-24,0,0,0.06621773,1230.7904052734375,111642.72984484982,0.0,111642.72984484982,106623.58247683845,111642.72984484982
2023-08-25,0,0,0.083905794,1225.1075439453125,111642.72984484982,0.0,111642.72984484982,106131.27523189437,111642.72984484982
2023-08-28,0,0,0.054523874,1212.8978271484375,111642.72984484982,0.0,111642.72984484982,105073.54538582751,111642.72984484982
2023-08-29,1,0,0.06927898,1201.2838134765625,111642.72984484982,0.0,111642.72984484982,104067.42140295882,111642.72984484982
2023-08-30,1,0,0.05871162,1200.1422119140625,111642.72984484982,0.0,111642.72984484982,103968.52426512496,111642.72984484982
2023-08-31,1,0,0.094876714,1194.65771484375,111642.72984484982,0.0,111642.72984484982,103493.40134962699,111642.72984484982
2023-09-01,1,0,0.08154036,1197.4619140625,111642.72984484982,0.0,111642.72984484982,103736.32960564915,111642.72984484982
2023-09-04,1,0,0.07399431,1196.494140625,111642.72984484982,0.0,111642.72984484982,103652.49122789607,111642.72984484982
2023-09-05,1,0,0.067849584,1202.8968505859375,111642.72984484982,0.0,111642.72984484982,104207.15908252858,111642.72984484982
2023-09-06,1,0,0.07114603,1205.4281005859375,111642.72984484982,0.0,111642.72984484982,104426.44170123289,111642.72984484982
2023-09-07,1,0,0.08540214,1207.06591796875,111642.72984484982,0.0,111642.72984484982,104568.32610011192,111642.72984484982
2023-09-08,1,0,0.09490875,1215.1064453125,111642.72984484982,0.0,111642.72984484982,105264.87835362347,111642.72984484982
2023-09-11,0,0,0.06087999,1228.20947265625,111642.72984484982,0.0,111642.72984484982,106399.99584454364,111642.72984484982
2023-09-12,0,0,0.06927898,1210.4659423828125,111642.72984484982,0.0,111642.72984484982,104862.87079430421,111642.72984484982
2023-09-13,0,0,0.061768487,1216.52099609375,111642.72984484982,0.0,111642.72984484982,105387.42112877517,111642.72984484982
2023-09-14,0,0,0.05593436,1217.6376953125,111642.72984484982,0.0,111642.72984484982,105484.16097232778,111642.72984484982
2023-09-15,0,0,0.116932936,1219.8961181640625,111642.72984484982,0.0,111642.72984484982,105679.80852868622,111642.72984484982
2023-09-18,0,0,0.08155444,1209.274658203125,111642.72984484982,0.0,111642.72984484982,104759.66964287986,111642.72984484982
2023-09-20,0,0,0.10920742,1182.323974609375,111642.72984484982,0.0,111642.72984484982,102424.92733204183,111642.72984484982
2023-09-21,0,0,0.18737732,1173.712890625,111642.72984484982,0.0,111642.72984484982,101678.94765955729,111642.72984484982
2023-09-22,0,0,0.265188,1168.8240966796875,111642.72984484982,0.0,111642.72984484982,101255.43060725748,111642.72984484982
2023-09-25,0,0,0.31203717,1161.6273193359375,111642.72984484982,0.0,111642.72984484982,100631.9725599807,111642.72984484982
2023-09-26,0,0,0.29448402,1162.6446533203125,111642.72984484982,0.0,111642.72984484982,100720.10437635232,111642.72984484982
2023-09-27,0,0,0.29791775,1175.7476806640625,111642.72984484982,0.0,111642.72984484982,101855.22186727248,111642.72984484982
2023-09-28,0,0,0.37720576,1158.4755859375,111642.72984484982,0.0,111642.72984484982,100358.93735876896,111642.72984484982
2023-09-29,0,0,0.4113286,1163.8856201171875,111642.72984484982,0.0,111642.72984484982,100827.60954136717,111642.72984484982
2023-10-03,0,0,0.45338416,1150.55908203125,111642.72984484982,0.0,111642.72984484982,99673.12927677573,111642.72984484982
2023-10-04,1,0,0.3978963,1148.5738525390625,111642.72984484982,0.0,111642.72984484982,99501.14850767907,111642.72984484982
2023-10-05,1,0,0.40464765,1148.549072265625,111642.72984484982,0.0,111642.72984484982,99499.0017883698,111642.72984484982
2023-10-06,1,1,0.58049744,1150.4847412109375,0.0,111531.19864620361,111531.19864620361,99666.68911884792,111531.19864620361
2023-10-09,1,0,0.3489682,1140.6822509765625,110470.33699322873,0.0,110470.33699322873,98817.49771996707,110470.33699322873
2023-10-10,1,0,0.37191308,1145.719970703125,110470.33699322873,0.0,110470.33699322873,99253.91623806642,110470.33699322873
2023-10-11,0,0,0.3745303,1163.910400390625,110470.33699322873,0.0,110470.33699322873,100829.75626067644,110470.33699322873
2023-10-12,0,0,0.41652283,1166.0693359375,110470.33699322873,0.0,110470.33699322873,101016.7852148819,110470.33699322873
2023-10-13,0,0,0.40449664,1166.0198974609375,110470.33699322873,0.0,110470.33699322873,101012.50235123532,110470.33699322873
2023-10-16,0,1,0.55405796,1163.4140625,0.0,110359.97701621252,110359.97701621252,100786.75842465927,110359.97701621252
2023-10-17,0,0,0.37931016,1168.972900390625,110776.3940211656,0.0,110776.3940211656,101268.32149808505,110776.3940211656
2023-10-18,0,0,0.3515737,1153.4627685546875,110776.3940211656,0.0,110776.3940211656,99924.67613495085,110776.3940211656
2023-10-19,0,0,0.31554013,1144.603271484375,110776.3940211656,0.0,110776.3940211656,99157.17639451381,110776.3940211656
2023-10-20,1,0,0.26601523,1141.104248046875,110776.3940211656,0.0,110776.3940211656,98854.05539805641,110776.3940211656
2023-10-23,1,0,0.33633852,1123.2861328125,110776.3940211656,0.0,110776.3940211656,97310.46903994525,110776.3940211656
2023-10-25,1,0,0.38517132,1120.6802978515625,110776.3940211656,0.0,110776.3940211656,97084.7251133692,110776.3940211656
2023-10-26,1,0,0.35154352,1105.0709228515625,110776.3940211656,0.0,110776.3940211656,95732.48229802596,110776.3940211656
2023-10-27,1,0,0.3679092,1124.5765380859375,110776.3940211656,0.0,110776.3940211656,97422.25706860668,110776.3940211656
2023-10-30,1,0,0.30803773,1147.7548828125,110776.3940211656,0.0,110776.3940211656,99430.20102075356,110776.3940211656
